Song_Name,Song_Lyrics,Album_Name,Album_Year,Negative,Neutral,Positive,Compound
Reality,tragic youth looking young sexy tragic youth wearing tattered black jeans bearing arms flaunting mischief tragic youth going swear woo hoo yes swear built wall sound separate us hid among junk wretched highs sped planet x planet alpha struggling reality ha ha ha ha woo hoo ha ha ha ha whoo hoo sight failing twilight da da da da da da da da da death sad song da da da da da da da da da swear woo hoo yes swear woo hoo still remember happened still get wherefores whys look sense get next nothing boy welcome reality ha ha ha ha woo hoo right wrong back started never looked reality shoulder ha ha ha ha huh ha ha ha woo hoo huh ha ha wooh woo hoo wooh,Reality,2003,0.183,0.411,0.406,0.9909
Bring Me the Disco King,promised ending would clear let know time let know opening door stab dark let disappear memories flutter like bats hell stab city spires life worth balance crumpled paper written let know invisible let know invisible hot cash days trailed around cold cold nights chrome glass led river perfumed limbs sent streets good time girls let know invisible let know invisible could dance dance dance fire dance dance dance fire feed lies know know breathe years know know bring disco king know know dead alive bring disco king bring disco king bring disco king bring disco king spin offs slept like corpses damp morning rays stiff bad clubs killing time 70s smelling love moist winds let know opening door close dark let disappear soon nothing left nothing left release dance dance dance fire dance dance dance fire feed lies know know breathe years know know bring disco king know know dead alive bring disco king bring disco king bring disco king bring disco king bring disco king bring disco king bring disco king bring disco king,Reality,2003,0.214,0.677,0.109,-0.9761
Fly,television walking yard house fast asleep crying car dying weekend kids alright smile much sit garage decks stuff dying weekend boy charge mother know never got around yet telling would make crazy fine sleeping head fly close eyes fly television walking yard house fast asleep crying car dying weekend kids got gig night rave lookin pretty tough still want say really go back street skinny kid cries bad drive saturday another life flies dying weekend fine sleeping head fly close eyes fly fly fall toward end fly fine sleeping head fly close eyes fly,Reality,2003,0.146,0.725,0.129,-0.5994
Queen of All the Tarts (Overture),queen queen tarts queen queen tarts queen queen tarts queen queen tarts queen queen queen queen,Reality,2003,0.0,1.0,0.0,0.0
Rebel Rebel (2003),got mother whirl sure boy girl baby hair alright babe let stay tonight like like love dancing look divine love bands playing hard want want fast put say wrong tacky thing put rebel rebel torn dress rebel rebel face mess rebel rebel could know hot tramp love got mother whirl sure boy girl babe hair alright baby let stay tonight like like love dancing look divine love bands playing hard want want fast put say wrong tacky thing put rebel rebel torn dress rebel rebel face mess rebel rebel could know hot tramp love got mother whirl sure boy girl baby hair alright baby let stay tonight stay tonight stay tonight,Reality,2003,0.221,0.398,0.381,0.986
Waterloo Sunset,dirty old river must keep rolling flowing night people busy makes feel dizzy taxi light shines bright need friends long gaze waterloo sunset paradise every day look world window chilly chilly evening time waterloo sunset fine terry meets julie waterloo station every friday night lazy want wander stay home night feel afraid long gaze waterloo sunset paradise every day look world window chilly chilly evening time waterloo sunset fine millions people swarming like flies round waterloo underground terry julie cross river feel safe sound need friends long gaze waterloo sunset paradise waterloo sunset fine waterloo sunset fine waterloo sunset fine waterloo sunset fine waterloo sunset fine waterloo sunset fine waterloo sunset fine,Reality,2003,0.051,0.637,0.312,0.9853
Sunday,nothing remains could run rain slows look cars signs life heat goes look drifters crawl bracken look shafts light road heat goes everything changed truth beginning nothing nothing changed everything changed truth beginning end nothing changed everything changed fear seek peace fear become fear seek love take fire must burn fear seek peace fear seek love rise together clouds wings trip business take number trials lord remembered everything changed,Heathen,2002,0.192,0.585,0.223,0.4404
Cactus,sitting wishing cement floor wishing something wore put go lonely take dress send miss kissing miss head letter writing mean dead run outside desert heat make dress wet send miss soup miss bread letter writing mean dead spill breakfast drip wine wear dress dine v sitting wishing cement floor wishing something wore bloody hands cactus tree wipe dress send sitting wishing cement floor wishing something wore,Heathen,2002,0.239,0.585,0.177,-0.743
Slip Away,oogie waits another day drags bones see yankees play bones boy talks flickers gray slip away time nearly might bones oogie silver screen one knew could except slip away slip away forget keep head warm twinkle twinkle uncle floyd watching world war torn wonder sailing coney island twinkle twinkle uncle floyd dumb fun boy wonder oogie knew never ever time us always stay behind space always 1982 joke always knew sa matter c mon let go slip away forget keep head warm twinkle twinkle uncle floyd watching world war torn wonder sailing coney island twinkle twinkle uncle floyd dumb fun boy wonder sailing,Heathen,2002,0.19,0.683,0.128,-0.8316
Slow Burn,shall live terrible town price minds shall squeeze tight like fist walls shall eyes doors shall ears dance dark play lives like slow burn leading us like slow burn turning us round round round hark small times slow burn slow burn days strangest nights darkest fall knows echoes tenement halls knows though years spare like slow burn leading us like slow burn twirling us round round upside fear overhead fear overground slow burn slow burn like slow burn leading us like slow burn turning us round round round center slow burn slow burn slow burn,Heathen,2002,0.11,0.718,0.172,0.6369
