Song_Name,Song_Lyrics,Album_Name,Album_Year,Negative,Neutral,Positive,Compound
Cracked Actor,come years hollywood highs best last cleanest star ever stiff legend films made forget fifty cause got paid crack baby crack show real smack baby smack feel suck baby suck give head start professing knocking dead stay please stay please stay caught trick sunset vine since pinned baby porcupine sold illusions sack full cheques made bad connection cause want sex crack baby crack show real smack baby smack feel suck baby suck give head start professing knocking dead ooh stay day ooh dare woo,Aladdin Sane,1973,0.244,0.636,0.12,-0.9274
Time,time waiting wings speaks senseless things script boy time flexes like whore falls wanking floor trick boy time quaaludes red wine demanding billy dolls friends mine take time sniper brain regurgitating drain incestuous vain many last names well look watch says 9 25 think god still alive li li li li li li li li li li li li li li li li li li li li li li li li li li li li li li li li li li li li li li li li victim scream boredom evicting time chimes goddamn looking old freeze catch cold cause left coat behind take time breaking hard keeping dark hateful many dreams many breakthroughs love kind love left dreamless door dreams closed park real dreamless perhaps smiling smiling darkness give guilt dreaming li li li li li li li li li li li li li li li li li li li li li li li li li li li li li li li li li li li li li li li li li li la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la yes time,Aladdin Sane,1973,0.113,0.734,0.153,0.9081
Let's Spend the Night Together,well worry bout mind hurry take time going red tongue getting tired head mouth getting dry h h h high let spend night together need ever let spend night together feel strong disguise well apologise hang let could fun groovin around around around let spend night together need ever let spend night together know smiling baby need guiding baby deciding baby let spend night together need ever let spend night together happen every day excuses got anyway satisfy every need know satisfy let spend night together need ever let spend night together need ever let spend night together need ever let spend night together said young kind love fun love comes let make love hoo let spend night together need ever let spend night together,Aladdin Sane,1973,0.05,0.682,0.268,0.9871
The Jean Genie,small jean genie snuck city strung lasers slash back blazers ate razors pulling waiters talking bout monroe walking snow white new york go go everything tastes nice poor little greenie woo hoo get back jean genie lives back jean genie loves chimney stacks jean genie outrageous screams bawls jean genie let go sits like man smiles like reptile loves loves short scratch sand let go hand says beautician sells nutrition keeps dead hair making underwear poor little greenie jean genie lives back jean genie loves chimney stacks jean genie outrageous screams bawls jean genie let go whoa simple minded drive module bites neon sleeps capsule loves loved loves loved woo hoo woo hoo jean genie lives back jean genie loves chimney stacks jean genie outrageous screams bawls jean genie let go go go jean genie lives back jean genie loves chimney stacks jean genie outrageous screams bawls jean genie let go go go go,Aladdin Sane,1973,0.153,0.563,0.284,0.9845
Lady Grinning Soul,come go lay belief skin sweet musky oil lady another grinning soul cologne wear silver americard drive beetle car beat cool canasta clothes strewn afraid room touch fullness breast feel love caress living end come go lay belief stake life life become point view clothes strewn afraid room touch fullness breast feel love caress living end living end living end living end living end,Aladdin Sane,1973,0.0,0.785,0.215,0.9451
Five Years,pushing market square many mothers sighing sighing news come five years left cry cry news guy wept told us earth really dying dying cried much face wet knew lying lying heard telephones opera house favourite melodies saw boys toys electric irons tvs brain hurt like warehouse room spare cram many things store everything fat skinny people tall short people nobody people somebody people never thought need many people girl age went head hit tiny children black pulled think would killed soldier broken arm fixed stare wheels cadillac cop knelt kissed feet priest queer threw sight think saw ice cream parlour drinking milkshakes cold long smiling waving looking fine think knew song cold rained felt like actor thought wanted get back face race way talk kiss beautiful want walk got five years stuck eyes five years surprise got five years brain hurts lot five years got got five years surprise five years stuck eyes got five years brain hurts lot five years got got five years stuck eyes five years surprise got five years brain hurts lot five years got got five years surprise got five years stuck eyes got five years brain hurts lot five years got five years five years five years five years,The Rise and Fall of Ziggy Stardust and the Spiders from Mars,1972,0.197,0.69,0.113,-0.9734
Soul Love,stone love kneels grave brave son gave life save slogan hovers headstone eyes penetrate grieving new love boy girl talking new words share new words love strong tears hearts sleep fleeting hours morning love careless choosing sweeping cross baby love descends defenseless idiot love spark fusion inspirations none touch flaming dove love love love loving soul love priest tastes word told love god high love though reaching loneliness evolves blindness surrounds love careless choosing sweeping cross baby love descends defenseless idiot love spark fusion inspirations none touch flaming dove love love love loving,The Rise and Fall of Ziggy Stardust and the Spiders from Mars,1972,0.143,0.28,0.578,0.9981
Moonage Daydream,alligator mama papa coming space invader rock n rollin bitch keep mouth shut squawking like pink monkey bird busting brains words keep lectric eye babe put ray gun head press space face close mine love freak moonage daydream fake baby lay real thing church man love holy place make baby make know really care make jump air keep lectric eye babe put ray gun head press space face close mine love freak moonage daydream keep lectric eye babe put ray gun head press space face close mine love freak moonage daydream keep lectric eye babe keep lectric eye babe lectric eye babe put ray gun head put ray gun head ray gun head press space face close mine love press space face close mine love press space face close mine love freak moonage daydream freak moonage daydream freak moonage daydream freak freak freak freak freak far far far far far,The Rise and Fall of Ziggy Stardust and the Spiders from Mars,1972,0.254,0.577,0.169,-0.8958
Starman,goodbye love know time lights low leaned back radio cat layin rock n roll lotta soul said loud sound seem fade came back like slow voice wave phase dj hazy cosmic jive starman waiting sky like come meet us thinks blow minds starman waiting sky told us blow cause knows worthwhile told let children lose let children use let children boogie phone someone picked far heard switch tv may pick channel two look window see light sparkle may land tonight tell poppa get us locked fright starman waiting sky like come meet us thinks blow minds starman waiting sky told us blow cause knows worthwhile told let children lose let children use let children boogie starman waiting sky like come meet us thinks blow minds starman waiting sky told us blow cause knows worthwhile told let children lose let children use let children boogie la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la la,The Rise and Fall of Ziggy Stardust and the Spiders from Mars,1972,0.056,0.839,0.105,0.886
It Ain't Easy,climb top mountain look sea think places perhaps young man could jump back rooftops look town think strange things circulating round easy easy easy get heaven going well people got problems nothing new help good lord pull pull get end sometimes take right sometimes easy easy easy get heaven going satisfaction satisfaction keep satisfied got love hoochie coochie woman calling inside calling inside trying get woman really wants give something easy easy easy get heaven going easy easy easy get heaven going,The Rise and Fall of Ziggy Stardust and the Spiders from Mars,1972,0.071,0.431,0.498,0.9947
Lady Stardust,people stared makeup face laughed long black hair animal grace boy bright blue jeans jumped stage lady stardust sang songs darkness disgrace alright band together yes alright song went forever yes awful nice really quite outta sight sang night long femme fatales emerged shadows watch creature fair boys stood upon chairs make point view smiled sadly love could obey lady stardust sang songs darkness dismay alright band together yes alright song went forever awful nice really quite paradise sang night night long ooh sighed asked knew name alright band together yes alright song went forever awful nice really quite paradise sang night long get pussy,The Rise and Fall of Ziggy Stardust and the Spiders from Mars,1972,0.139,0.483,0.378,0.9879
Star,tony went fight belfast rudi stayed home starve could make worthwhile rock roll star bevan tried change nation sonny wants turn world well tell tried could make transformation rock roll star inviting enticing play part could play wild mutation rock roll star get oooo could money know could wiped things know could send photograph honey come like regular superstar could make transformation rock roll star inviting enticing play part could play wild mutation rock roll star get could money know could wiped things know could send photograph honey come like regular superstar could fall asleep night rock roll star could fall love right rock roll star rock roll star rock roll star watch,The Rise and Fall of Ziggy Stardust and the Spiders from Mars,1972,0.041,0.75,0.209,0.9607
Hang On to Yourself,one two well tongue twisting storm come show tonight praying light machine wants honey money funky thigh collector laying electric dreams well come come really got good thing going well come well come think gonna make better hang dance talk much ball play move like tigers vaseline well bitter comes better stolen guitar blessed spiders mars well come come really got good thing going well come well come think gonna make better hang come lay come come really got good thing going well come well come think gonna make better hang well come come really got good thing going well come well come think gonna make better hang come come come come come come come come come come come come come come come come,The Rise and Fall of Ziggy Stardust and the Spiders from Mars,1972,0.044,0.553,0.403,0.9946
Ziggy Stardust,ziggy played guitar jamming good weird gilly spiders mars played left hand made far became special man ziggy band ziggy really sang screwed eyes screwed hairdo like cat japan could lick em smiling could leave em hang came loaded man well hung snow white tan spiders fly tried break balls beer light guide us bitched fans crush sweet hands ziggy played time jiving us voodoo kids crass nazz god given ass took far boy could play guitar making love ego ziggy sucked mind like leper messiah kids killed man break band ooh ziggy played guitar,The Rise and Fall of Ziggy Stardust and the Spiders from Mars,1972,0.19,0.517,0.293,0.9031
Suffragette City,man leave alone know man henry get phone gotta man gotta straighten face mellow thighed chick put spine place man school day insane man work drain man well total blam blam said squeeze lean man cause afford ticket back suffragette city lean man cause got time check know suffragette city outta sight right man henry unkind go away man take time way man dear droogie crash room one comes comes lean man cause afford ticket back suffragette city lean man cause got time check know suffragette city outta sight right hit lean man cause afford ticket back suffragette city lean man cause got time check know suffragette city lean man cause afford ticket back suffragette city lean man cause got time check know suffragette city outta sight whoa right suffragette city suffragette city back suffragette city back suffragette city whoa suffragette city ooh suffragette city ooh suffragette city ooh suffragette city ooh suffragette wham bam thank suffragette city suffragette city quite right suffragette city fine suffragette city ooh suffragette city suffragette city suffragette city suffragette suffragette,The Rise and Fall of Ziggy Stardust and the Spiders from Mars,1972,0.072,0.88,0.048,-0.3818
Rock 'n' Roll Suicide,time takes cigarette puts mouth pull finger another finger cigarette wall wall calling lingers forget rock n roll suicide old lose young choose clock waits patiently song walk past café eat lived long rock n roll suicide chev brakes snarling stumble across road day breaks instead hurry home let sun blast shadow let milk float ride mind natural religiously unkind love alone watching unfair got head tangled could make care love alone matter matter seen knives seem lacerate brain share help pain alone turn alone let turn alone wonderful give hands cause wonderful wonderful give hands cause wonderful wonderful give hands cause wonderful wonderful give hands,The Rise and Fall of Ziggy Stardust and the Spiders from Mars,1972,0.208,0.491,0.301,0.9477
Changes,mmm still know waiting time running wild million dead end streets every time thought got made seemed taste sweet turned face never caught glimpse others must see faker much fast take test ch ch ch ch changes turn face strange ch ch changes want richer man ch ch ch ch changes turn face strange ch ch changes gonna different man time may change trace time watch ripples change size never leave stream warm impermanence days float eyes still days seem children spit try change worlds immune consultations quite aware going ch ch ch ch changes turn face strange ch ch changes tell grow ch ch ch ch changes turn face strange ch ch changes shame left us necks time may change trace time strange fascination fascinating changes taking pace going ch ch ch ch changes turn face strange ch ch changes look rock n rollers ch ch ch ch changes turn face strange ch ch changes pretty soon gonna get older time may change trace time said time may change trace time,Hunky Dory,1971,0.111,0.782,0.107,0.3142
Oh! You Pretty Things,wake sleepy head put clothes shake bed put another log fire made breakfast coffee look window see crack sky hand reaching nightmares came today looks though stay coming room fun think world come books found golden ones written pain written awe puzzled man questioned strangers came today looks though stay pretty things pretty things know driving mamas papas insane pretty things pretty things know driving mamas papas insane let make plain gotta make way homo superior look children see faces golden rays kid belong start coming race earth bitch finished news homo sapiens outgrown use strangers came today looks though stay pretty things pretty things know driving mamas papas insane pretty things pretty things know driving mamas papas insane let make plain gotta make way homo superior,Hunky Dory,1971,0.148,0.612,0.241,0.9571
Eight Line Poem,tactful cactus window surveys prairie room mobile spins collision clara puts head paws opened shops westside cacti find home key city sun pins branches sky,Hunky Dory,1971,0.094,0.906,0.0,-0.3612
Life on Mars?,god awful small affair girl mousy hair mummy yelling daddy told go friend nowhere seen walks sunken dream seat clearest view hooked silver screen film saddening bore lived ten times could spit eyes fools ask focus sailors fighting dance hall man look cavemen go freakiest show take look lawman beating wrong guy man wonder ever know best selling show life mars america tortured brow mickey mouse grown cow workers struck fame cause lennon sale see mice million hordes ibiza norfolk broads rule britannia bounds mother dog clowns film saddening bore wrote ten times writ ask focus sailors fighting dance hall man look cavemen go freakiest show take look lawman beating wrong guy man wonder ever know best selling show life mars,Hunky Dory,1971,0.275,0.61,0.115,-0.9719
Kooks,stay lovers story stay sorry cause believe soon grow take chance couple kooks hung romancing stay lovers story stay sorry cause believe soon grow take chance couple kooks hung romancing bought lot things keep warm dry funny old crib paint dry bought pair shoes trumpet blow book rules say people pick cause stay us going pretty kooky stay lovers story stay sorry cause believe soon grow take chance couple kooks hung romancing ever go school remember messed old fool pick fights bullies cads cause much cop punching people dads homework brings throw fire take car downtown stay lovers story stay sorry cause believe soon grow take chance couple kooks hung romancing stay lovers story stay sorry cause believe soon grow take chance couple kooks hung romancing,Hunky Dory,1971,0.102,0.597,0.301,0.9873
Quicksand,closer golden dawn immersed crowley uniform imagery living silent film portraying himmler sacred realm dream reality frightened total goal drawing ragged hole got power anymore got power anymore twisted name garbo eyes living proof churchill lies destiny torn light dark others see targets divine symmetry kiss viper fang herald loud death man sinking quicksand thought got power anymore believe deceive belief knowledge comes death release prophet stone age man mortal potential superman living tethered logic homo sapien take eyes great salvation bullshit faith explain ought know tell next bardo sinking quicksand thought got power anymore believe deceive belief knowledge comes death release believe deceive belief knowledge comes death release,Hunky Dory,1971,0.245,0.648,0.107,-0.9633
Fill Your Heart,fill heart love today play game time things happened past happened mind mind forget mind free writing wall free know choose remember lovers never lose cause free thoughts unpure thoughts unkind gentleness clears soul love cleans mind makes free happiness happening dragons bled gentleness everywhere fear head head fear head head forget head free writing wall free know choose remember lovers never lose free thoughts unpure thoughts unkind gentleness clears soul love clean mind make fuh ree ee ee ee ee ee free free free free free free,Hunky Dory,1971,0.102,0.379,0.519,0.9961
Andy Warhol,andy war hull yes take one take one war hole actually say hull hole holes andy warh huh andy warho andy war war ol like hol hol andy war hole take one ha ready ha ha ha ha ha like take cement fix standing cinema dress friends show see really put peephole brain two new pence go like gallery put inside show andy warhol looks scream hang wall andy warhol silver screen tell apart andy walking andy tired andy take little snooze tie fast asleep send pleasant cruise wakes sea sure think think paint think glue jolly boring thing andy warhol looks scream hang wall andy warhol silver screen tell apart andy warhol looks scream hang wall andy warhol silver screen tell apart,Hunky Dory,1971,0.193,0.577,0.23,0.3182
Song for Bob Dylan,hear robert zimmerman wrote song strange young man called dylan voice like sand glue words truthful vengeance could pin us floor brought people put fear whole lot comes comes comes old painted lady brow superbrain scratch world pieces comes like friend couple songs old scrapbook could send home gave heart every bedsit room least picture wall sat behind million pair eyes told saw lost train thought paintings troubles rising rather scared together alone comes comes comes old painted lady brow superbrain scratch world pieces comes like friend couple songs old scrapbook could send home hear robert zimmerman though suppose meet ask good friend dylan gaze old street tell lost poems writing walls give us back unity give us back family every nation refugee leave us sanity comes comes comes old painted lady brow superbrain scratch world pieces comes like friend couple songs old scrapbook could send home couple songs old scrapbook could send home comes ooh comes comes ooh,Hunky Dory,1971,0.099,0.748,0.152,0.9001
Queen Bitch,eleventh floor watching cruisers street trying hard pull sister flo heart basement weekend time low cause hoping score see letting go walk heart walk mind swishy satin tat frock coat bipperty bopperty hat god could better old time ambassador sweet talking night walking games known darkest clubs pushing ahead dames says make false claims queen queens laughter sucked brains leading lay right yes leading lay right could yes could say say swishy satin tat frock coat bipperty bopperty hat god could better lay gaze hotel wall cot cold feel like bed lay look hotel wall street throw bags hall phoning cab cause stomach feels small taste mouth taste could could say say swishy satin tat frock coat bipperty bopperty hat god could better ooh betcha uh huh mmm,Hunky Dory,1971,0.063,0.729,0.208,0.9648
The Bewlay Brothers,story goes wore clothes said things make seem improbable whale lie like hope goodmen tomorrow feet wallow heads brawn nicely shorn bought positions saccharin trust world asleep latent fuss sighing swirl streets like crust sun bewlay brothers wings bark flashing teeth brass standing tall dark gone hanging dwarf men turned lack conclusions stone wax could scream still relax unbelievable frightened small children away talk old dust would flow veins lo midnight back kitchen door like grim face cathedral floor solid book wrote cannot found today stalking time moonboys bewlay brothers backs arch devil may sing gone real cool traders turned thought fakers dress hung ticket pawned factor max proved fact melted woven edging pillow brother lays upon rocks could dead could could chameleon comedian corinthian caricature shooting pie sky bewlay brothers feeble bad bewlay brothers blessed cold crutch hungry dark flayed mark gone kings oblivion turned mind warp pavilion lay place bake pie starving gravy leave shoes door unlocked might slip away day please come away day please come away please come away day please come away please come away please come away please come away away away,Hunky Dory,1971,0.132,0.667,0.202,0.9118
The Width of a Circle,corner morning past would sit blame master first last roads straight narrow prayers small yellow rumour spread aging fast ran across monster sleeping tree looked frowned monster well said hello said hello asked replied know asked simple black bird happy well laughed insane quipped khalil gibran cried others day nearly realized god young man said long waved bye bye smashed soul traded mind got laid young bordello vaguely half asleep reputation swept back home drag morals magic spell negotiate hide god take logic ride riding along swallowed pride puckered lips showed leather belt round hips knees shaking cheeks aflame said never go gods turn around go back struck ground cavern appeared smelt burning pit fear crashed thousand yards said turn around go back nebulous body swayed tongue swollen devil love snake venom high said turn around go back breathe breathe breathe deeply seething breathing deeply spitting sentry horned tailed waiting,The Man Who Sold the World,1970,0.127,0.741,0.132,0.25
All the Madmen,day day send friends away mansions cold grey far side town thin men stalk streets sane stay underground day day tell go tell blow far side town pointless high long way tell fly scream break arm harm stand foot hand talking wall quite right set free heavy librium e makes three cause rather stay madmen perish sad men roaming free rather play madmen quite content sane horizon lie nation hides organic minds cellar dark grim organic growth much underexplored followed home mummy must dim keep day day take brain away turn face around far side town tell real ask feel stand foot hand talking wall quite right set free helpless libido split gimme good ole lobotomy rather stay madmen perish sadmen roaming free rather play madmen quite content sane zane zane zane ouvre le chien zane zane zane ouvre le chien zane zane zane ouvre le chien zane zane zane ouvre le chien ouvre zane zane zane ouvre le chien ouvre zane zane zane ouvre le chien ouvre zane zane zane ouvre le chien ouvre zane zane zane ouvre le chien ouvre zane zane zane ouvre le chien ouvre zane zane zane ouvre le chien ouvre zane,The Man Who Sold the World,1970,0.077,0.771,0.153,0.9482
Black Country Rock,pack pack horse rest black country rock never know might find black country rock pack pack horse rest black country rock never know might find black country rock say view crazy may adopt another point view much hazy leave friend fond à dieu pack pack horse rest black country rock never know might find black country rock pack pack horse rest black country rock never know might find black country rock say view crazy may adopt another point view much hazy leave friend fond à dieu say view crazy may adopt another point view much hazy leave friend fond à dieu,The Man Who Sold the World,1970,0.092,0.708,0.2,0.9274
After All,please trip gently like fall jingo room anger small jingo painting faces dressing thoughts skies paradise think holding secretive ball someone invite taller children man obstacle sad clown jingo hold nothing let jingo people marching together quite alone others running smaller ones crawl sit silence older children sing impertinence shading impermanent chords words borrowed time sorry called thought occurred nobody children live till rebirth jingo forget said please bear ill jingo,The Man Who Sold the World,1970,0.192,0.634,0.174,-0.1761
Running Gun Blues,count corpses left find tidy better get away better make today cut twenty three since friday control face drawn instinct still emotes slashed cold killed dead broke gooks cracked heads bomb beds got running gun blues seems peacefuls stopped war left generals squashed stifled slip tonight cause taken back rifle promote oblivion plug civilians slash cold kill dead break gooks crack heads slice till running red got running gun blues slash cold kill dead break gooks crack heads slice till running red got running gun blues,The Man Who Sold the World,1970,0.435,0.501,0.065,-0.9932
Saviour Machine,president joe dream world held hand gave pledge told scheme saviour machine called prayer answer law logic stopped war gave food adored till cried boredom please believe please disagree life easy plague seems quite feasible maybe war may kill let stay let stay logic says burn send away minds green despise seen stake lives saviour machine need flying show dying living beyond reason sacred dimension time perceive every sign steal every mind let stay let stay logic says burn send away minds green despise seen stake lives saviour machine,The Man Who Sold the World,1970,0.253,0.617,0.131,-0.9371
She Shook Me Cold,met upon hill night cool still sucked dormant mother blew brain go back god shook cold time spare grabbed golden hair threw ground father caved head lord things said god told smart broke gentle hearts many young virgins quick ball left lonely give trying took head smashed kept young blood rising crushed mercilessly kept going around know crave give love vain reach peak met upon hill mother blew brain go back god shook cold,The Man Who Sold the World,1970,0.175,0.62,0.205,0.4215
The Man Who Sold the World,passed upon stair spoke although said friend came surprise spoke eyes thought died alone long long time ago never lost control face face man sold world laughed shook hand made way back home searched form land years years roamed gazed gazely stare millions must died alone long long time ago knows never lost control face face man sold world knows never lost control face face man sold world,The Man Who Sold the World,1970,0.147,0.651,0.202,0.584
The Supermen,world young mountain magic heavy hung supermen would walk file guardians loveless isle gloomy browed superfear tragic endless lives could heave sigh solemn perverse serenity wondrous beings chained life strange games would play death perfect men life rolls one softly supergod cries minds uni thought powers weird mystics taught pain joy power great colossal strength grasp fate sad eyed mermen tossed slumbers nightmare dreams mortal mind could hold man would tear brother flesh chance die turn mold far red sky far sad eyes strange mad celebration softly supergod cries far red sky far sad eyes strange mad celebration softly supergod dies,The Man Who Sold the World,1970,0.329,0.514,0.158,-0.9682
Space Oddity,ground control major tom ground control major tom take protein pills put helmet ten ground control nine major tom eight seven six commencing five countdown engines four three two check ignition one may god love lift ground control major tom really made grade papers want know whose shirts wear time leave capsule dare major tom ground control stepping door floating peculiar way stars look different today sitting tin far world planet earth blue nothing though past one hundred thousand miles feeling still think spaceship knows way go tell wife love much knows ground control major tom circuit dead something wrong hear major tom hear major tom hear major tom floating round tin far moon planet earth blue nothing,David Bowie (a.k.a. Space Oddity),1969,0.065,0.823,0.112,0.6486
Unwashed and Somewhat Slightly Dazed,spy spy pretty girl see see window turn nose well need first last must strain look far father house know louse like house could cream great utopia dream gleam depths banker spleen phallus pigtails blood nose tissue rotting rats chew bones eye socket empty see nothing pain keep havin brainstorm twelve times day could spend morning walking quite amazed unwashed somewhat slightly dazed got eyes backside see electric tomatoes credit card rye bread children washrooms holding hands queen heads full murders killers scream could spend morning talking quite amazed look raving mad somewhat slightly dazed run window porcelain bowl sick ears red parquet floor braque wall slides front eats belly catching spend morning lying father quite amazed strange unwashed happily slightly dazed following baby baby baby sit sit sit,David Bowie (a.k.a. Space Oddity),1969,0.188,0.617,0.195,0.6505
Don't Sit Down,baby baby baby sit sit sit,David Bowie (a.k.a. Space Oddity),1969,0.0,1.0,0.0,0.0
Letter to Hermione,hand wrote letter sweeps pillow clean rest head read treasured dream care one else tear soul cease pain think maybe feel quite sure supposed writing say life going well say sparkle like different girl something tells hide world warm tired cry little dark well quite sure supposed say see okay makes laugh brings style treats well makes real fine strong strong kiss something new ever call name mistake quite sure supposed write love,David Bowie (a.k.a. Space Oddity),1969,0.114,0.401,0.485,0.9902
Cygnet Committee,bless madly sadly tie shoes love badly time times guess need rest sets test much gone little new sparrow sings dawn chorus someone else hear thinker sits alone growing older bitter gave life gave drained soul dry crushed heart ease pains thought remains nothing spare praised efforts free words strength care sympathy opened doors would blocked way braved cause guide little pay ravaged finance whose claims steeped peace tranquility said new world new ways ever free whose promises stretched hope grace bless madly sadly tie shoes love badly time times guess need rest sets test much gone little new sunrise stream flickers friends talk glory untold dream god god word friend talking man spoke many powers best men used let use powers let fill needs strong road coming end damned time make amends purse token fortune stands way silent guns love blast sky broke ruptured structure built age weapons tongues crying rage money stood planted seeds rebirth stabbed backs fathers sons dirt infiltrated business cesspools hating sleeves slit catholic throat stoned poor slogans wish could hear love need kick jams kick mother cut friend screw brother get end know flag love force free force believe close eyes tighten brain read book lovers slain knew words free states refrain said believe power good believe state love fight right right kill good fight right right open eyes look around see child laid slain ground love machine lumbers desolation rows ploughing man woman listening command hearing anymore hearing anymore shrieks old rich want believe madness calls want believe light shining somehow want believe want believe want believe want live want live want live want live want live want live want live want live want live want live want live want live live live live,David Bowie (a.k.a. Space Oddity),1969,0.187,0.48,0.333,0.9948
Janine,love janine helpless smile like polish wanderer travel ever onwards land jewels close hand strange demand collocate mind scares gloom intense keep place defence got keep veil face janine janine like know well got things inside head even face janine janine like crash walls take axe kill another man fey janine tripper last catch standing toes right shout lazy stream thoughts would drown stay janine glide along caught wings laughs obliged read statements year take glasses act sincere janine janine like know well got things inside head even face janine janine like crash walls take axe kill another man,David Bowie (a.k.a. Space Oddity),1969,0.248,0.489,0.263,0.0258
An Occasional Dream,recall lived corner bed speak swedish room hessian wood talk eyes sweetness lives tomorrows rich surprise things could madness burnt one hundred days time takes time pass still hold ashes occasional dream sleep close really close eyes sheets summer bathed blue gently weeping nights long long ago still touch name days fate strong danced far madness see face mine keep photograph burns wall time time occasional dream mine occasional dream mine occasional dream mine,David Bowie (a.k.a. Space Oddity),1969,0.093,0.66,0.247,0.91
Wild Eyed Boy from Freecloud,solemn faced village settles undetected stars hangman plays mandolin goes sleep last thing mind wild eyed boy imprisoned neath covered wooden shaft folds rope bag blows pipe smolders blankets smoke room day end night begins one staring message eyes lies solitary son mountain called freecloud eagle dare fly patience sigh gives indication townsmen decide village dreadful yawns pronouncing gross diversion label dog madness eyes breaks night cry really really really hard us really really really lose though always really free mountain moved eyes world realize snow saved place wild eyed boy freecloud village dreadful cried rope began rise smile stayed face wild eyed boy freecloud women proud clutched heart crowd boulders smashed mountain hand magic stare wild eyed boy said stop freecloud think cut cottages fell like playing card hell tears face wise boy came trembling rumbling ground missionary mystic peace love stumbled back cry among clouds kicking back pebbles freecloud mountain track,David Bowie (a.k.a. Space Oddity),1969,0.229,0.602,0.169,-0.9038
God Knows I'm Good,walking counters national concern cash machine spitting shoulder saw multitude faces honest rich clean merchandise exchanged money roared woman hot worry slyly slipped tin stewing steak paper bag side face white fear case actions observed closed eyes keep conscience blind crying god knows good god knows good god knows good god may look way today god knows good god knows good god knows good god may look way today moved toward exit clutching tightly paper bag perspiration trickled forehead heart leapt inside hand laid shoulder led away bewildered amazed deafened ears cash machines shrieking counter escort asked softly name crowd honest people rushed help tired old lady fainted whirling wooden floor crying god knows good god knows good god knows good surely god look way god knows good god knows good god knows good surely god look way,David Bowie (a.k.a. Space Oddity),1969,0.086,0.449,0.465,0.9967
Memory of a Free Festival,maybe announce memory free festival children summer end gathered dampened grass played songs felt london sky resting hands god land ragged naive heaven touch touched soul holding every life claimed source joy ran seemed way kissed lot people day capture one drop ecstasy swept afternoon paint love upon white balloon fly toppest top tops man pushed beyond brain satori must something scanned skies rainbow eyes saw machines every shape size talked tall venusians passing peter tried climb aboard captain shook head away soared climbing ivory vibrant cloud someone passed bliss among crowd walked back road unchained sun machine coming gonna party sun machine coming gonna party sun machine coming gonna party sun machine coming gonna party sun machine coming gonna party sun machine coming gonna party,David Bowie (a.k.a. Space Oddity),1969,0.034,0.617,0.349,0.9942
Uncle Arthur,strikes bell 5 clock uncle arthur closes shop screws tops bottles turns lights locks climbs across bike away cycles past gasworks past river high street back mother another empty day uncle arthur likes mommy uncle arthur still reads comics uncle arthur follows batman round round rumours fly ran away mum 32nd birthday told found chum mother cried raved yelled fussed arthur left illusion brought girl round save confusion sally real thing lust uncle arthur vanished quickly uncle arthur new bride uncle arthur follows sally round round goes arthur head eaten well days little sally may lovely cooking leaves maze uncle arthur packed bags fled back mother forgiven serving family shop gets pocket money well fed uncle arthur past gasworks uncle arthur past river uncle arthur high street uncle arthur follows mother,David Bowie,1967,0.075,0.793,0.132,0.8603
Sell Me a Coat,la la la la la la la la la la la la la winter day bitter snowflake face summer girl takes little backward steps away jack frost took hand left jack frost cool sell coat buttons silver sell coat red gold sell coat little patch pockets sell coat feel cold smiles ice forgets melt away like smile warm yesterday see trees like silver candy feel icy hand sell coat buttons silver sell coat red gold sell coat little patch pockets sell coat feel cold see eyes windowpane see tears like gentle rain memory summer day sell coat buttons silver sell coat red gold sell coat little patch pockets sell coat feel cold sell coat buttons silver sell coat red gold sell coat little patch pockets sell coat feel cold la la la la la la,David Bowie,1967,0.03,0.797,0.172,0.9633
Rubber Band,rubber band rubber band plays tunes tune library garden sunday afternoon little chappie waves golden wand rubber band 1910 handsome strong moustache stiffly waxed one foot long loved girl played teatime tunes dear rubber band playing tune tune rubber band play haunting theme eat scones drink cup tea sun warm lonely afternoon play theme rubber band wish could join rubber band could play lively parks throughout land one sunday afternoon find love rubber band 14 18 war went sea thought sunday love waiting home married leader band hope break baton,David Bowie,1967,0.068,0.556,0.376,0.9881
Love You till Tuesday,look window look sits outside little waiting standing night walk door wave flag shout beautiful baby burning desire started sunday give heart love till tuesday hiding apple tree clinging branch afraid hoping little romance lie beneath shade keep nice cool beatiful baby lonely till met sunday passion never ending love till tuesday let wind blow hair nice big blue sea afraid man moon shall always watch love runs dry beautiful baby heart flame love till tuesday head whirl love till tuesday love love love love till tuesday love love love love till tuesday well might stretch till wednesday,David Bowie,1967,0.029,0.451,0.52,0.9978
There Is a Happy Land,happy land children live time learn ways sir mr grownup special place rhubarb fields underneath leaves secret place adults allowed mr grownup go away sir charlie brown got half crown going buy kite jimmy ill chickenpox tommy learned ride bike tiny tim sings prayers hymns small notice gets way always let play us mother calls hear lots things 5 clock tired yet shortly sissy steven plays girls someone made cry tony climbed tree fell trying hard touch sky tommy lit fire one day nearly burned field away tommy mum found put blame ray happy land children live chance doors closed sir mr grownup go away sir,David Bowie,1967,0.12,0.747,0.133,0.3612
